"X.ppt_224428.","X.E5FXB3tr.Glycine.rich.RNA.binding.protein..Sequoia.sempervirens..California.redwood...Taxodium.sempervirens..","X.GO.0006397..GO.0051252..GO.0003729..GO.0005634..GO.1990904.","X.NO.H."
"ppt_255145","A0A199V4S2tr=L-ascorbate oxidase  Ananas comosus (Pineapple) (Ananas ananas)","GO:0055114, GO:0005507, GO:0016491, GO:0005576, GO:0009506, GO:0016021","HUB"
"ppt_242689","---NA---","","HUB"
"ppt_238821","---NA---","","HUB"
"ppt_133917","---NA---","","HUB"
"ppt_71672","A0A176VP49tr=Uncharacterized protein  Marchantia polymorpha subsp. polymorpha","GO:0005509","HUB"
"ppt_183181","Q9FLJ2sp=NAC domain-containing protein 100 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003677, GO:0005634","HUB"
"ppt_105511","D7MPC5tr=F-box family protein  Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)","GO:0016567, GO:0031146, GO:0004842, GO:0005515","HUB"
"ppt_155250","B8LN81tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_80643","A9P1J7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_219459","B8LKN4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006470, GO:0004722","HUB"
"ppt_245221","---NA---","","HUB"
"ppt_87395","---NA---","","HUB"
"ppt_180031","A9NQ78tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_141889","A0A0K9NYA1tr=Calcium-binding protein CML42  Zostera marina (Eelgrass)","GO:0005509","HUB"
"ppt_205325","A0A0E0DE79tr=Uncharacterized protein  Oryza meridionalis","","HUB"
"ppt_160887","---NA---","","HUB"
"ppt_168525","A0A0C9S5Y0tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_16136_1020 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_198967","B8LMX8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_126671","B8LRP8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_133716","Q9SGU2sp=Auxin-responsive protein SAUR71  Arabidopsis thaliana (Mouse-ear cress)","GO:0005737","HUB"
"ppt_129365","W9QWR6tr=Transcription factor TT2  Morus notabilis","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","HUB"
"ppt_161402","A0A0G7ZNS8tr=Cytochrome P450 CYP78A141v1  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_276757","---NA---","","HUB"
"ppt_97831","---NA---","","HUB"
"ppt_238135","A9NWU5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006470, GO:0004722","HUB"
"ppt_81375","B8LRB4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_141890","A0A0K9NYA1tr=Calcium-binding protein CML42  Zostera marina (Eelgrass)","GO:0005509","HUB"
"ppt_161405","A0A0G7ZNS8tr=Cytochrome P450 CYP78A141v1  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_161400","O65012sp=Cytochrome P450 78A4 Pinus radiata (Monterey pine) (Pinus insignis)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037","HUB"
"ppt_66280","A0A0C9S9U9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5984_1922 transcribed RNA sequence  Wollemia nobilis","GO:0045017, GO:0004144, GO:0016020, GO:0016021","HUB"
"ppt_215662","A0A072VCC9tr=F-box/FBD/LRR protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0016874, GO:0016020, GO:0016021","HUB"
"ppt_232386","A0A061EDD1tr=UPF0392 protein RCOM_0530710 isoform 2  Theobroma cacao (Cacao) (Cocoa)","GO:0016740, GO:0016757, GO:0046872, GO:0016020, GO:0016021","HUB"
"ppt_226206","O65012sp=Cytochrome P450 78A4 Pinus radiata (Monterey pine) (Pinus insignis)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_42454","B8LN81tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_219010","---NA---","","HUB"
"ppt_180029","D5AD80tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_236380","Q9LV11sp=ATPase 11, plasma membrane-type Arabidopsis thaliana (Mouse-ear cress)","GO:0009651, GO:0051453, GO:0120029, GO:0005524, GO:0008553, GO:0016887, GO:0046872, GO:0005886, GO:0016021","HUB"
"ppt_38444","---NA---","","HUB"
"ppt_125529","---NA---","","HUB"
"ppt_147497","---NA---","","HUB"
"ppt_153861","---NA---","","HUB"
"ppt_62670","---NA---","","HUB"
"ppt_212995","C0PQE2tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_202866","---NA---","","HUB"
"ppt_76945","B9RQ88tr=BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1, putative  Ricinus communis (Castor bean)","GO:0016310, GO:0000166, GO:0004672, GO:0016020","HUB"
"ppt_238134","A9NWU5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006470, GO:0004722","HUB"
"ppt_49472","Q42667sp=Phenylalanine ammonia-lyase Citrus limon (Lemon) (Citrus medica var. limon)","GO:0006559, GO:0009800, GO:0045548, GO:0005737","HUB"
"ppt_128641","A9NYV0tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0030001, GO:0046872","HUB"
"ppt_103655","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_228631","---NA---","","HUB"
"ppt_97828","---NA---","","HUB"
"ppt_129370","W9QWR6tr=Transcription factor TT2  Morus notabilis","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","HUB"
"ppt_207946","A0A075M5N5tr=NAC domain protein  Pinus massoniana","GO:0006355, GO:0048518, GO:0003677","HUB"
"ppt_92874","D5ACC7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_180027","D5AD80tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_108658","A0A0K0M7B5tr=NB-ARC  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0007165, GO:0043531","HUB"
"ppt_180002","---NA---","","HUB"
"ppt_237652","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_213904","B9R8Q0tr=Brca1 interacting protein helicase 1 brip1, putative  Ricinus communis (Castor bean)","GO:0006289, GO:1990918, GO:0003678, GO:0097159, GO:1901363, GO:0005634","HUB"
"ppt_107089","A0A0K9NXQ7tr=Polygalacturonase, family GH28  Zostera marina (Eelgrass)","GO:0003824","HUB"
"ppt_141891","A0A0K9NYA1tr=Calcium-binding protein CML42  Zostera marina (Eelgrass)","GO:0005509","HUB"
"ppt_7677","---NA---","","HUB"
"ppt_172028","---NA---","","HUB"
"ppt_163862","---NA---","","HUB"
"ppt_111961","---NA---","","HUB"
"ppt_66261","---NA---","","HUB"
"ppt_255461","A0A0B2P295tr=Cell division control protein 6 like  Glycine soja (Wild soybean)","GO:0006260, GO:0033314, GO:0090304, GO:0003688, GO:0005634","HUB"
"ppt_120124","A9TAA7tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","","HUB"
"ppt_258072","U5CZL8tr=Uncharacterized protein  Amborella trichopoda","GO:0007018, GO:0003777, GO:0005524, GO:0008017, GO:0016887, GO:0005871, GO:0005874","HUB"
"ppt_202193","---NA---","","HUB"
"ppt_198722","---NA---","","HUB"
"ppt_218474","---NA---","","HUB"
"ppt_135907","---NA---","","HUB"
"ppt_105512","D7MPC5tr=F-box family protein  Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)","GO:0016567, GO:0031146, GO:0004842, GO:0005515","HUB"
"ppt_123880","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_145800","---NA---","","HUB"
"ppt_82289","---NA---","","HUB"
"ppt_76934","B9RQ86tr=Nodulation receptor kinase, putative  Ricinus communis (Castor bean)","GO:0016310, GO:0000166, GO:0004672, GO:0016020","HUB"
"ppt_248881","---NA---","","HUB"
"ppt_129368","A0A167V911tr=Transcription factor MYB31  Picea abies (Norway spruce) (Picea excelsa)","GO:0003677, GO:0005634","HUB"
"ppt_196999","B8LKC3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_202972","A0A151RIA8sp=Cytosine-specific methyltransferase  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0032776, GO:0005488, GO:0008168","HUB"
"ppt_121069","---NA---","","HUB"
"ppt_45785","E9NZS6tr=Putative TIR-NBS-LRR protein  Pinus monticola (Western white pine) (Strobus monticola)","GO:0007165, GO:0043531","HUB"
"ppt_76947","B9RQ86tr=Nodulation receptor kinase, putative  Ricinus communis (Castor bean)","GO:0016310, GO:0000166, GO:0004672, GO:0016020","HUB"
"ppt_121495","W9S5D1tr=Zinc finger protein ZAT4  Morus notabilis","GO:0003676","HUB"
"ppt_181359","B8LR43sp=Glycosyltransferase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016758","HUB"
"ppt_108342","---NA---","","HUB"
"ppt_147970","A0A0K0M7A3tr=CYP78A1  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_166453","---NA---","","HUB"
"ppt_161403","A0A0G7ZNS8tr=Cytochrome P450 CYP78A141v1  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_103656","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_107810","A9NX95tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_238133","A9NWU5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006470, GO:0004722","HUB"
"ppt_248884","A0A199UKP8tr=Pathogenesis-related protein 1C  Ananas comosus (Pineapple) (Ananas ananas)","GO:0005615","HUB"
"ppt_129366","---NA---","","HUB"
"ppt_227533","C0PQE2tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_226037","---NA---","","HUB"
"ppt_183013","A5JYE9tr=R2R3-MYB transcription factor MYB5  Picea glauca (White spruce) (Pinus glauca)","GO:0003677, GO:0005634","HUB"
"ppt_151334","A9LY18tr=Putative F-box GID2 protein  Selaginella moellendorffii (Spikemoss)","GO:0009740, GO:0019005","HUB"
"ppt_129364","W9QWR6tr=Transcription factor TT2  Morus notabilis","GO:0030154, GO:0003700, GO:0043565, GO:0005634","HUB"
"ppt_80642","A9P1J7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_100795","A9TVM3tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0016020, GO:0016021","HUB"
"ppt_37154","---NA---","","HUB"
"ppt_68778","---NA---","","HUB"
"ppt_45786","E9NZS6tr=Putative TIR-NBS-LRR protein  Pinus monticola (Western white pine) (Strobus monticola)","GO:0007165, GO:0043531","HUB"
"ppt_253777","---NA---","","HUB"
"ppt_128700","---NA---","","HUB"
"ppt_204056","A0A199UKP8tr=Pathogenesis-related protein 1C  Ananas comosus (Pineapple) (Ananas ananas)","GO:0005615","HUB"
"ppt_120125","B9RP78tr=Tso1, putative  Ricinus communis (Castor bean)","","HUB"
"ppt_183182","O04017sp=Protein CUP-SHAPED COTYLEDON 2 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010072, GO:0010223, GO:0048366, GO:0090691, GO:0090709, GO:0003677, GO:0003700, GO:0005515, GO:0005634","HUB"
"ppt_158011","A0A0C9S4N9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_13835_2077 transcribed RNA sequence  Wollemia nobilis","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016020","HUB"
"ppt_66862","A0A061F848tr=UDP-Glycosyltransferase superfamily protein  Theobroma cacao (Cacao) (Cocoa)","GO:0016020","HUB"
"ppt_65843","A0A078IYT4tr=BnaA01g36400D protein  Brassica napus (Rape)","GO:0009987, GO:0046658","HUB"
"ppt_93141","A0A0D6QT17sp=Serine/threonine-protein kinase  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0009987, GO:0016301","HUB"
"ppt_179626","---NA---","","HUB"
"ppt_218478","---NA---","","HUB"
"ppt_38598","C0PQE2tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_68777","---NA---","","HUB"
"ppt_164631","A0A103YDB6tr=Chloramphenicol acetyltransferase-like domain-containing protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0016747","HUB"
"ppt_247234","A0A1B1LTG5tr=FT-like protein  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0009908, GO:0010228","HUB"
"ppt_176928","---NA---","","HUB"
"ppt_198715","---NA---","","HUB"
"ppt_157341","A0A0K0M726tr=MET  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0016740","HUB"
"ppt_197245","---NA---","","HUB"
"ppt_220651","A0A1C8M5K2tr=Polyamine oxidase 5  Malus domestica (Apple) (Pyrus malus)","GO:0016647","HUB"
"ppt_120120","B9RP78tr=Tso1, putative  Ricinus communis (Castor bean)","","HUB"
"ppt_76940","Q39143tr=Light repressible receptor protein kinase  Arabidopsis thaliana (Mouse-ear cress)","GO:0006468, GO:0016310, GO:0004672, GO:0005524, GO:0016301, GO:0016020, GO:0016021","HUB"
"ppt_138194","C0PQB7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_252173","B8LKC3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_139662","A0A0K0M765tr=ZF1  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0016567, GO:0004842, GO:0008270, GO:0046872, GO:0016020, GO:0016021","HUB"
"ppt_232385","A0A061EDD1tr=UPF0392 protein RCOM_0530710 isoform 2  Theobroma cacao (Cacao) (Cocoa)","GO:0016740, GO:0016757, GO:0046872, GO:0016020, GO:0016021","HUB"
"ppt_206231","A0A0C9RSS8sp=Glycosyltransferase  Wollemia nobilis","GO:0008194, GO:0043231","HUB"
"ppt_244560","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_37156","---NA---","","HUB"
"ppt_76935","Q39143tr=Light repressible receptor protein kinase  Arabidopsis thaliana (Mouse-ear cress)","GO:0006468, GO:0016310, GO:0004672, GO:0005524, GO:0016301, GO:0016020, GO:0016021","HUB"
"ppt_120119","B9RP78tr=Tso1, putative  Ricinus communis (Castor bean)","","HUB"
"ppt_255457","A0A0B2P295tr=Cell division control protein 6 like  Glycine soja (Wild soybean)","GO:0006260, GO:0033314, GO:0090304, GO:0003688, GO:0005634","HUB"
"ppt_148010","B8LPP6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_123881","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_240067","A0A151RNF4tr=Endo-1,4-beta-xylanase A  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0005975, GO:0016798","HUB"
"ppt_56199","A0A0C9RSW6tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_14425_618 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_54836","C0PQB7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_82296","---NA---","","HUB"
"ppt_226659","---NA---","","HUB"
"ppt_171133","A0A0K0M7B5tr=NB-ARC  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0007165, GO:0043531","HUB"
"ppt_220650","A0A1C8M5K2tr=Polyamine oxidase 5  Malus domestica (Apple) (Pyrus malus)","GO:0016647","HUB"
"ppt_218517","D5AEI4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_123885","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_127427","A0A0D6QS68tr=Uncharacterized protein  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0016020, GO:0016021","HUB"
"ppt_119587","A0A0C9S596tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_20205_992 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0009408, GO:0009416, GO:0009658, GO:0043621, GO:0000427, GO:0042644, GO:0101031","HUB"
"ppt_88767","A0A022QXI0tr=Uncharacterized protein  Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)","","HUB"
"ppt_245220","---NA---","","HUB"
"ppt_251689","---NA---","","HUB"
"ppt_120122","B9RP78tr=Tso1, putative  Ricinus communis (Castor bean)","","HUB"
"ppt_217292","A0A199VZE0tr=Expansin-B17  Ananas comosus (Pineapple) (Ananas ananas)","GO:0006949, GO:0009506","HUB"
"ppt_137818","D5A9Z7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_183463","A0A0V0HYP4tr=Putative ovule protein  Solanum chacoense (Chaco potato)","GO:0006351, GO:0032502, GO:0005634, GO:0016021","HUB"
"ppt_97830","---NA---","","HUB"
"ppt_90188","A9NZ74tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_111842","A0A078DW76tr=BnaA06g05320D protein  Brassica napus (Rape)","GO:0046983","HUB"
"ppt_77174","A0A0C9S3N2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_28613_2447 transcribed RNA sequence  Wollemia nobilis","GO:0000166, GO:0005524","HUB"
"ppt_117302","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_136221","---NA---","","HUB"
"ppt_120121","A9TAA7tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","","HUB"
"ppt_252189","A0A176W8B6tr=Uncharacterized protein  Marchantia polymorpha subsp. polymorpha","GO:0003676","HUB"
"ppt_220647","A0A1C8M5K2tr=Polyamine oxidase 5  Malus domestica (Apple) (Pyrus malus)","GO:0016647","HUB"
"ppt_76848","A0A0B2RFH4tr=BRCT domain-containing protein  Glycine soja (Wild soybean)","GO:0046872","HUB"
"ppt_161817","A0A0C9RJA6tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_14872_4890 transcribed RNA sequence  Wollemia nobilis","GO:0000166, GO:0005524, GO:0016887, GO:0016020, GO:0016021","HUB"
"ppt_197000","B8LKC3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_191722","---NA---","","HUB"
"ppt_196995","B8LKC3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_65845","A0A078G3Q3tr=BnaA05g20350D protein  Brassica napus (Rape)","GO:0031224","HUB"
"ppt_218663","---NA---","","HUB"
"ppt_237660","A9NYF8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_36304","---NA---","","HUB"
"ppt_164819","B8LRE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_238474","---NA---","","HUB"
"ppt_207949","A0A075M5N5tr=NAC domain protein  Pinus massoniana","GO:0006355, GO:0003677","HUB"
"ppt_95414","A0A0C9RSS8sp=Glycosyltransferase  Wollemia nobilis","GO:0016757","HUB"
"ppt_130323","---NA---","","HUB"
"ppt_144050","Q8L8J0tr=TIR/P-loop/LRR  Pinus taeda (Loblolly pine)","GO:0007165","HUB"
"ppt_255459","A0A0B2P295tr=Cell division control protein 6 like  Glycine soja (Wild soybean)","GO:0000162, GO:0006270, GO:0006396, GO:0033314, GO:0051301, GO:0003688, GO:0004049, GO:0005634","HUB"
"ppt_72798","---NA---","","HUB"
"ppt_264302","A0A0K0M7B5tr=NB-ARC  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0007165, GO:0043531","HUB"
"ppt_202186","---NA---","","HUB"
"ppt_71439","---NA---","","HUB"
"ppt_117714","X5CAB9tr=GA2ox7  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0055114, GO:0016491, GO:0046872","HUB"
"ppt_80550","O04536sp=Probable galacturonosyltransferase-like 9 Arabidopsis thaliana (Mouse-ear cress)","GO:0006979, GO:0048354, GO:0048363, GO:0071668, GO:0047262, GO:0005783, GO:0005794, GO:0016020","HUB"
"ppt_136222","---NA---","","HUB"
"ppt_236383","Q9LV11sp=ATPase 11, plasma membrane-type Arabidopsis thaliana (Mouse-ear cress)","GO:0009651, GO:0051453, GO:0120029, GO:0005524, GO:0008553, GO:0016887, GO:0046872, GO:0005886, GO:0016021","HUB"
"ppt_44792","A0A061GDD1tr=Alpha/beta-Hydrolases superfamily protein isoform 1  Theobroma cacao (Cacao) (Cocoa)","GO:0006629, GO:0000166, GO:0003924, GO:0005525, GO:0016787, GO:0016020, GO:0016021","HUB"
"ppt_206278","---NA---","","HUB"
"ppt_202190","---NA---","","HUB"
"ppt_47194","Q943Q3sp=16.6 kDa heat shock protein Oryza sativa subsp. japonica (Rice)","GO:0006950, GO:0009628","HUB"
"ppt_206279","---NA---","","HUB"
"ppt_129369","---NA---","","HUB"
"ppt_65844","A0A078G3Q3tr=BnaA05g20350D protein  Brassica napus (Rape)","GO:0031224","HUB"
"ppt_156724","A9NSW3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_120123","B9RP78tr=Tso1, putative  Ricinus communis (Castor bean)","","HUB"
"ppt_198966","B8LMX8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_65846","A0A078G3Q3tr=BnaA05g20350D protein  Brassica napus (Rape)","GO:0031224","HUB"
"ppt_247140","V4SPX8tr=Uncharacterized protein  Citrus clementina","GO:0016020","HUB"
"ppt_49212","---NA---","","HUB"
"ppt_254200","C0PQB7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_232080","---NA---","","HUB"
"ppt_206276","---NA---","","HUB"
"ppt_135725","---NA---","","HUB"
"ppt_165301","A0A0D3F7Q5sp=Ammonium transporter  Oryza barthii","GO:0072488, GO:0003779, GO:0003824, GO:0008519, GO:0005887","HUB"
"ppt_54034","A0A176WCB6tr=Uncharacterized protein  Marchantia polymorpha subsp. polymorpha","GO:0043531","HUB"
"ppt_135768","X5CFI0tr=GA2ox3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0055114, GO:0016491, GO:0046872","HUB"
"ppt_123870","Q5S8F1tr=Lipase  Ricinus communis (Castor bean)","GO:0016787","HUB"
"ppt_204057","A0A199UKP8tr=Pathogenesis-related protein 1C  Ananas comosus (Pineapple) (Ananas ananas)","GO:0005615","HUB"
"ppt_192474","A0A072V432tr=GNS1/SUR4 membrane family protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0019368, GO:0016021","HUB"
"ppt_137262","B8LQ56tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_232079","---NA---","","HUB"
"ppt_80548","O04536sp=Probable galacturonosyltransferase-like 9 Arabidopsis thaliana (Mouse-ear cress)","GO:0006979, GO:0048354, GO:0048363, GO:0071668, GO:0047262, GO:0005783, GO:0005794, GO:0016020","HUB"
"ppt_192472","A0A072V432tr=GNS1/SUR4 membrane family protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0019368, GO:0016021","HUB"
"ppt_119645","---NA---","","HUB"
"ppt_147536","EnsemblPlants:KEH30927} Medicago truncatula (Barrel medic) (Medicago tribuloides)","","HUB"
"ppt_222557","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_256728","A0A078GKL6tr=BnaA02g10950D protein  Brassica napus (Rape)","GO:0030042, GO:0051015, GO:0005737, GO:0015629","HUB"
"ppt_147541","EnsemblPlants:KEH30927} Medicago truncatula (Barrel medic) (Medicago tribuloides)","","HUB"
"ppt_157732","A0A199VI53tr=Multiple RNA-binding domain-containing protein 1  Ananas comosus (Pineapple) (Ananas ananas)","GO:0000381, GO:0045292, GO:0003676, GO:0003723, GO:0005634, GO:0005730, GO:0016607","HUB"
"ppt_226607","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_157731","A0A199VI53tr=Multiple RNA-binding domain-containing protein 1  Ananas comosus (Pineapple) (Ananas ananas)","GO:0000381, GO:0045292, GO:0003676, GO:0003723, GO:0005634, GO:0005730, GO:0016607","HUB"
"ppt_65842","A0A078G3Q3tr=BnaA05g20350D protein  Brassica napus (Rape)","GO:0031224","HUB"
"ppt_119588","A0A0C9S596tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_20205_992 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0009408, GO:0009416, GO:0009658, GO:0043621, GO:0000427, GO:0042644, GO:0101031","HUB"
"ppt_216124","A0A0C9SAG3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_3650_1556 transcribed RNA sequence  Wollemia nobilis","GO:0009738, GO:0080163, GO:0004864, GO:0010427, GO:0038023, GO:0005634, GO:0005737","HUB"
"ppt_90770","P25469sp=Histone H2A.1 Solanum lycopersicum (Tomato) (Lycopersicon esculentum)","GO:0006342, GO:0003677, GO:0046982, GO:0000786, GO:0000790","HUB"
"ppt_82690","---NA---","","HUB"
"ppt_91342","A9NWB1sp=Alpha-galactosidase  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0005975, GO:0052692, GO:0110165","HUB"
"ppt_81803","A9P1E8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
